,Author,Date,Message
0,Mickey Mouse,"Apr 19, 2020, 5:17 AM",Whose wanton passions in the sacred proch 
1,Donald Duck,"Apr 19, 2020, 5:12 AM","In th' arctic sky, and from his horrid hair "
2,Donald Duck,"Apr 19, 2020, 5:11 AM",With what all Earth or Heaven could bestow 
3,Donald Duck,"Apr 19, 2020, 5:11 AM","Of Sun! to tell thee how I hate thy beams, "
4,Donald Duck,"Apr 19, 2020, 5:02 AM",To which the Hell I suffer seems a Heaven. 
5,Donald Duck,"Apr 19, 2020, 4:54 AM","Part wield their arms, part curb the foaming steed, "
6,Donald Duck,"Apr 19, 2020, 3:58 AM","His crime makes guilty all his sons; thy merit, "
7,William Shakespeare,"Apr 19, 2020, 3:58 AM",Dwelt in Telassar:  In this pleasant soil 
8,Mickey Mouse,"Apr 19, 2020, 3:55 AM",To be both will and deed created free; 
9,Other,"Apr 19, 2020, 3:54 AM","Fit retribution, empty as their deeds; "
10,William Shakespeare,"Apr 19, 2020, 3:54 AM","Our knowing, as to highest wisdom seemed, "
11,William Shakespeare,"Apr 19, 2020, 3:54 AM","O miserable mankind, to what fall "
12,Mickey Mouse,"Apr 19, 2020, 3:54 AM",Of southmost Abarim; in Hesebon 
13,William Shakespeare,"Apr 19, 2020, 3:53 AM","Betwixt the world destroyed and world restored, "
14,Mickey Mouse,"Apr 19, 2020, 3:52 AM",And wings were set with eyes; with eyes the wheels 
15,William Shakespeare,"Apr 19, 2020, 3:51 AM",Cherub and Seraph rolling in the flood 
16,Mickey Mouse,"Apr 19, 2020, 3:51 AM",Yet soon he healed; for Spirits that live throughout 
17,Mickey Mouse,"Apr 19, 2020, 3:50 AM","And now a stripling Cherub he appears, "
18,Mickey Mouse,"Apr 19, 2020, 3:46 AM","The thoughts, and heart enlarges; hath his seat "
19,Donald Duck,"Apr 19, 2020, 3:45 AM",So spake domestick Adam in his care 
20,Mickey Mouse,"Apr 19, 2020, 3:45 AM","Descending, and in half cut sheer; nor staid, "
21,Mickey Mouse,"Apr 19, 2020, 3:45 AM","To star or sun-light, spread their umbrage broad "
22,Donald Duck,"Apr 19, 2020, 3:45 AM","Rocks, caves, lakes, fens, bogs, dens, and shades of death-- "
23,Donald Duck,"Apr 19, 2020, 3:45 AM","With splendour, armed with power, if aught proposed "
24,William Shakespeare,"Apr 19, 2020, 3:45 AM","Of smoke, and bickering flame, and sparkles dire: "
25,Donald Duck,"Apr 19, 2020, 3:44 AM","Obtruded on us thus? who, if we knew "
26,William Shakespeare,"Apr 19, 2020, 3:44 AM","His countenance, as the morning-star that guides "
27,Other,"Apr 19, 2020, 2:46 AM",Hindered not Satan to attempt the mind 
28,Donald Duck,"Apr 19, 2020, 2:46 AM",Servant of God. Well done; well hast thou fought 
29,Donald Duck,"Apr 19, 2020, 2:45 AM","Such hast thou armed, the minstrelsy of Heaven, "
30,Donald Duck,"Apr 19, 2020, 2:45 AM","Whereat the heart of Adam, erst so sad, "
31,Donald Duck,"Apr 19, 2020, 2:44 AM","If thou resist.  The Fiend looked up, and knew "
32,Donald Duck,"Apr 19, 2020, 2:43 AM","And shame, and perturbation, and despair, "
33,Donald Duck,"Apr 19, 2020, 2:42 AM","Eve rightly called, mother of all mankind, "
34,Donald Duck,"Apr 19, 2020, 2:42 AM","Endued with human voice and human sense, "
35,Donald Duck,"Apr 19, 2020, 2:42 AM","Girt with the river Triton, where old Cham, "
36,Mickey Mouse,"Apr 19, 2020, 2:36 AM","Thence up he flew, and on the tree of life, "
37,Mickey Mouse,"Apr 19, 2020, 2:36 AM","Eastward among those trees, what glorious shape "
38,Other,"Apr 19, 2020, 2:31 AM",Which I must keep till my appointed day 
39,Donald Duck,"Apr 19, 2020, 2:31 AM",Whose dwelling God hath planted here in bliss! 
40,Other,"Apr 19, 2020, 2:31 AM","What we propound, and loud that all may hear! "
41,Mickey Mouse,"Apr 19, 2020, 2:31 AM",The records of his covenant; over these 
42,Mickey Mouse,"Apr 19, 2020, 2:31 AM","  He ended frowning, and his look denounced "
43,Mickey Mouse,"Apr 19, 2020, 2:31 AM","Disparted Chaos overbuilt exclaimed, "
44,Mickey Mouse,"Apr 19, 2020, 12:01 AM","Of trumpets loud and clarions, be upreared "
45,Other,"Apr 18, 2020, 11:49 PM"," Pleased, out of Heaven shalt look down and smile, "
46,Donald Duck,"Apr 18, 2020, 10:14 PM",The space of seven continued nights he rode 
47,Donald Duck,"Apr 18, 2020, 10:14 PM","Contending, and removed his tents far off; "
48,Other,"Apr 18, 2020, 10:13 PM","Dismounted, on the Aleian field I fall, "
49,Other,"Apr 18, 2020, 10:13 PM","Prevented, spares to tell thee yet by deeds "
50,Mickey Mouse,"Apr 18, 2020, 10:11 PM",Since Michael and his Powers went forth to tame 
51,Other,"Apr 18, 2020, 10:10 PM","Us timely of what might else have been our loss, "
52,Other,"Apr 18, 2020, 10:10 PM","Now shaves with level wing the deep, then soars "
53,Mickey Mouse,"Apr 18, 2020, 10:10 PM","Forth issuing at the accustomed hour, stood armed "
54,Other,"Apr 18, 2020, 10:09 PM","  He ceased; and next him Moloch, sceptred king, "
55,Mickey Mouse,"Apr 18, 2020, 10:09 PM","As one who in his journey bates at noon, "
56,Other,"Apr 18, 2020, 10:09 PM",Under amazement of their hideous change. 
57,Other,"Apr 18, 2020, 10:09 PM","Man I deceived: that which to me belongs, "
58,Other,"Apr 18, 2020, 10:08 PM","Thus Adam made request; and Raphael, "
59,Donald Duck,"Apr 18, 2020, 10:07 PM",Created pure.  But know that in the soul 
60,Other,"Apr 18, 2020, 10:07 PM",And from these corporal nutriments perhaps 
61,Donald Duck,"Apr 18, 2020, 10:07 PM","So saying, by the hand he took me raised, "
62,Other,"Apr 18, 2020, 10:07 PM","Mine never shall be parted, bliss or woe. "
63,Other,"Apr 18, 2020, 10:07 PM","But, lest the difficulty of passing back "
64,Donald Duck,"Apr 18, 2020, 10:06 PM","Crocus, and hyacinth, with rich inlay "
65,Donald Duck,"Apr 18, 2020, 10:06 PM",While the promiscuous crowd stood yet aloof? 
66,Mickey Mouse,"Apr 18, 2020, 10:04 PM","And now, their mightiest quelled, the battle swerved, "
67,Mickey Mouse,"Apr 18, 2020, 10:04 PM","Each in their kind.  The Earth obeyed, and straight "
68,Other,"Apr 18, 2020, 10:04 PM",That we must change for Heaven?--this mournful gloom 
69,Mickey Mouse,"Apr 18, 2020, 10:04 PM","Far separate, circling thy holy mount, "
70,Other,"Apr 18, 2020, 10:03 PM",The Arch-Angel trumpet; through the vast of Heaven 
71,Mickey Mouse,"Apr 18, 2020, 10:03 PM","My word, my wisdom, and effectual might,  "
72,Other,"Apr 18, 2020, 10:03 PM",Still glorious before whom awake I stood: 
73,Donald Duck,"Apr 18, 2020, 10:02 PM","To Sin and Death a prey, and so to us, "
74,Other,"Apr 18, 2020, 10:02 PM",Irrational till then.  For us alone 
75,Donald Duck,"Apr 18, 2020, 10:02 PM","Should yet remain, where faith and realty "
